step,micro_step,loss
1,4,0.0912925973534584
2,8,0.038256168365478516
3,10,0.0044591305777430534
4,14,0.22318978607654572
5,18,0.1781199723482132
6,22,0.48841291666030884
7,26,0.07588038593530655
8,30,0.2978874444961548
9,34,0.526642918586731
10,38,0.33781567215919495
11,42,0.1535860300064087
12,46,0.3634102940559387
13,50,0.03654869645833969
14,54,0.16377215087413788
15,58,0.36075276136398315
16,62,0.3955710530281067
17,66,0.013705912046134472
18,70,0.019819321110844612
19,74,0.004097721539437771
20,78,0.906460165977478
21,82,0.13229557871818542
22,86,0.3494190573692322
23,90,0.014909210614860058
24,94,0.0067748636938631535
25,98,0.8464632034301758
26,102,0.170999675989151
27,106,0.006352405995130539
28,110,0.041725896298885345
29,114,0.15240901708602905
30,118,0.04603377729654312
31,122,0.3153831362724304
32,126,0.020297735929489136
33,130,0.08961912989616394
34,134,0.22448578476905823
35,138,0.2508189380168915
36,142,0.21470682322978973
37,146,0.6963098049163818
38,150,0.2282988727092743
39,154,0.10001806169748306
40,158,0.0050342874601483345
41,162,0.20817558467388153
42,166,0.40816444158554077
43,170,0.03735210746526718
44,174,0.06170772388577461
45,178,0.09896036982536316
46,182,0.5317314863204956
47,186,0.11331813782453537
48,190,0.17933133244514465
49,194,0.004264648538082838
50,198,0.004403927829116583
51,202,0.009075131267309189
52,206,0.0370885506272316
53,210,0.016263052821159363
54,214,0.21460609138011932
55,218,0.10632041841745377
56,222,0.3246755301952362
57,226,0.002947825938463211
58,230,0.23628941178321838
59,234,0.0878564864397049
60,238,0.21890154480934143
61,242,0.25680750608444214
62,246,0.009615715593099594
63,250,0.34410613775253296
64,254,0.4344058930873871
65,258,0.11297686398029327
66,262,0.05979199707508087
67,266,0.08349177241325378
68,270,0.004371295683085918
69,274,0.576511800289154
70,278,0.26014459133148193
71,282,0.17333358526229858
72,286,0.14787504076957703
73,290,0.011513176374137402
74,294,0.21876706182956696
75,298,0.025623047724366188
76,302,0.3004394471645355
77,306,0.3667844533920288
78,310,0.09552298486232758
79,314,0.025138678029179573
80,318,0.2745846211910248
81,322,0.07480639219284058
82,326,0.020162345841526985
83,330,0.011860623955726624
84,334,0.0036341496743261814
85,338,0.1203545406460762
86,342,0.011649305000901222
87,346,0.09075890481472015
88,350,0.03946838527917862
89,354,0.12530747056007385
90,358,0.3212184011936188
91,362,0.0819229856133461
92,366,0.06381964683532715
93,370,0.06905978918075562
94,374,0.06377390027046204
95,378,0.007135420106351376
96,382,0.7208911180496216
97,386,0.01099470816552639
98,390,0.35007068514823914
99,394,0.26960110664367676
100,398,0.3282817602157593
101,402,0.036483846604824066
102,406,0.006150512024760246
103,410,0.12219226360321045
104,414,0.13082963228225708
105,418,0.04062747582793236
106,422,0.11777056753635406
107,426,0.08640167862176895
108,430,0.012206116691231728
109,434,0.02137226052582264
110,438,0.0410805344581604
111,442,0.271869957447052
112,446,0.11269624531269073
113,450,0.021213093772530556
114,454,0.012736296281218529
115,458,0.758553147315979
116,462,0.07009266316890717
117,466,0.023251574486494064
118,470,0.019552061334252357
119,474,0.014703166671097279
120,478,0.16267898678779602
121,482,0.13555246591567993
122,486,0.1039792150259018
123,490,0.006424393970519304
124,494,0.19780220091342926
125,498,0.04931730777025223
126,502,0.13132578134536743
127,506,0.09872730821371078
128,510,0.019498860463500023
129,514,0.0667349100112915
130,518,0.2877678871154785
131,522,0.4439241290092468
132,526,0.04813890904188156
133,530,0.005507871508598328
134,534,0.09457594156265259
135,538,0.06627589464187622
136,542,0.2926134169101715
137,546,0.04277591407299042
138,550,0.1904800534248352
139,554,0.6586047410964966
140,558,0.035666726529598236
141,562,0.0366249717772007
142,566,0.016991138458251953
143,570,0.015064382925629616
144,574,0.01185021921992302
