step,micro_step,loss
1,4,0.14328354597091675
2,8,0.059894859790802
3,10,0.18258243799209595
4,14,0.32786399126052856
5,18,0.015627926215529442
6,22,0.11015458405017853
7,26,0.004285162314772606
8,30,0.17869482934474945
9,34,0.40137940645217896
10,38,0.01883479580283165
11,42,0.048722654581069946
12,46,0.026420833542943
13,50,0.6795058250427246
14,54,0.004773593042045832
15,58,0.320904016494751
16,62,0.003637496381998062
17,66,0.020665813237428665
18,70,0.15742173790931702
19,74,0.10103417187929153
20,78,0.004361402243375778
21,82,0.7808363437652588
22,86,0.05821652710437775
23,90,0.4858674705028534
24,94,0.352631151676178
25,98,0.009111816063523293
26,102,0.004965006373822689
27,106,0.0026220236904919147
28,110,0.0834532231092453
29,114,0.020929301157593727
30,118,0.03598533570766449
31,122,0.11644557118415833
32,126,0.7804512977600098
33,130,0.47185856103897095
34,134,0.534855306148529
35,138,0.02424408495426178
36,142,0.21918344497680664
37,146,0.06804782152175903
38,150,0.05332472547888756
39,154,0.061843838542699814
40,158,0.019197653979063034
41,162,0.010282418690621853
42,166,0.003318454371765256
43,170,0.02799076773226261
44,174,0.011781026609241962
45,178,0.013067839667201042
46,182,0.05127682536840439
47,186,0.033476777374744415
48,190,0.09816164523363113
49,194,0.32402563095092773
50,198,0.01311590988188982
51,202,0.2705461382865906
52,206,0.005685259122401476
53,210,0.05526411905884743
54,214,0.6837853193283081
55,218,0.0817597433924675
56,222,0.005931410007178783
57,226,0.0068099829368293285
58,230,0.09482704102993011
59,234,0.7127034664154053
60,238,0.07484067976474762
61,242,0.026637859642505646
62,246,0.13198600709438324
63,250,0.2879323661327362
64,254,0.23972851037979126
65,258,0.019421759992837906
66,262,0.005421959795057774
67,266,0.029755601659417152
68,270,0.07373128831386566
69,274,0.09211800247430801
70,278,0.007377822417765856
71,282,0.46806538105010986
72,286,0.0971929281949997
73,290,0.09436627477407455
74,294,0.49066758155822754
75,298,0.5051712393760681
76,302,0.3286747634410858
77,306,0.013841964304447174
78,310,0.03144940733909607
79,314,0.4926609992980957
80,318,0.06659996509552002
81,322,0.27351900935173035
82,326,0.07760554552078247
83,330,0.05467402935028076
84,334,0.6269471049308777
85,338,0.011403393931686878
86,342,0.3362661600112915
87,346,0.10676354914903641
88,350,0.03077990934252739
89,354,0.04708801582455635
90,358,0.09113924205303192
91,362,0.09636925160884857
92,366,0.12020517885684967
93,370,0.007347493432462215
94,374,0.6947072744369507
95,378,0.047206323593854904
96,382,0.004012406803667545
97,386,0.016407091170549393
98,390,0.19120949506759644
99,394,0.021512173116207123
100,398,0.4298783242702484
101,402,0.003107856260612607
102,406,0.04073864221572876
103,410,0.2387857288122177
104,414,0.0032150077167898417
105,418,0.5816766619682312
106,422,0.00393432192504406
107,426,0.7417082190513611
108,430,0.008734982460737228
109,434,0.25795575976371765
110,438,0.09916882961988449
111,442,0.42097216844558716
112,446,0.028447745367884636
113,450,0.5029131174087524
114,454,0.024901529774069786
115,458,0.011450075544416904
116,462,0.1403355896472931
117,466,0.16999328136444092
118,470,0.18523532152175903
119,474,0.17823004722595215
120,478,0.29630547761917114
121,482,0.0031889830715954304
122,486,0.029022905975580215
123,490,0.40699517726898193
124,494,0.0037544029764831066
125,498,0.30935269594192505
126,502,0.09911099076271057
127,506,0.540942370891571
128,510,0.04900369420647621
129,514,0.443244069814682
130,518,0.06081884354352951
131,522,0.004931481555104256
132,526,0.03766622021794319
133,530,0.16582676768302917
134,534,0.18602252006530762
135,538,0.1939944177865982
136,542,0.16578373312950134
137,546,0.579326868057251
138,550,0.005944100674241781
139,554,0.011764457449316978
140,558,0.01396652776747942
141,562,0.012530369684100151
142,566,0.00795411691069603
143,570,0.04771006852388382
144,574,0.20772197842597961
145,578,0.2046375572681427
146,582,0.013545460999011993
147,586,0.005405906122177839
148,590,0.14037670195102692
149,594,0.22964251041412354
150,598,0.11157333105802536
151,602,0.037774212658405304
152,606,0.03780755028128624
153,610,0.00914123933762312
154,614,0.4489341676235199
155,618,0.03083544597029686
156,622,0.09110710024833679
157,626,0.021156422793865204
158,630,0.784672200679779
159,634,0.017388008534908295
160,638,0.02790413796901703
161,642,0.04154033213853836
162,646,0.030377080664038658
163,650,0.12058240920305252
164,654,0.3869079351425171
165,658,0.05568838119506836
166,662,0.5718058347702026
167,666,0.5338239669799805
