step,micro_step,loss,resumed_from_step
1,4,0.20186974108219147,0
2,8,0.01129613071680069,0
3,10,0.031124774366617203,0
4,14,0.034886434674263,0
5,18,0.037163883447647095,0
6,22,0.3464546203613281,0
7,26,0.07459534704685211,0
8,30,0.15458954870700836,0
9,34,0.45856258273124695,0
10,38,0.006218466907739639,0
11,42,0.0068557774648070335,0
12,46,0.06492185592651367,0
13,50,0.011176519095897675,0
14,54,0.02405506744980812,0
15,58,0.11039568483829498,0
16,62,0.2125677466392517,0
17,66,0.31519466638565063,0
18,70,0.04233962669968605,0
19,74,0.006971986964344978,0
20,78,0.0443926602602005,0
21,82,0.18217138946056366,0
22,86,0.456390380859375,0
23,90,0.1409023404121399,0
24,94,0.008598762564361095,0
25,98,0.00437834532931447,0
26,102,0.08151639252901077,0
27,106,0.17792674899101257,0
28,110,0.010193876922130585,0
29,114,0.13714177906513214,0
30,118,0.06109217554330826,0
31,122,0.00339184096083045,0
32,126,0.17249946296215057,0
33,130,0.1679047793149948,0
34,134,0.005009176209568977,0
35,138,0.04401560127735138,0
36,142,0.052146777510643005,0
37,146,0.1076531931757927,0
38,150,0.5369116067886353,0
39,154,0.0029683352913707495,0
40,158,0.3738827109336853,0
41,162,0.903999924659729,0
42,166,0.03237621486186981,0
43,170,0.0034473473206162453,0
44,174,0.25837063789367676,0
45,178,0.004531272687017918,0
46,182,0.16104091703891754,0
47,186,0.485135555267334,0
48,190,0.03932512551546097,0
49,194,0.3172161281108856,0
50,198,0.029208075255155563,0
51,202,0.0070416852831840515,0
52,206,0.4702689051628113,0
53,210,0.13741642236709595,0
54,214,0.0683242529630661,0
55,218,0.13208654522895813,0
56,222,0.2005007266998291,0
57,226,0.23193120956420898,0
58,230,0.2243555337190628,0
59,234,0.2691519558429718,0
60,238,0.4487934112548828,0
61,242,0.004231445491313934,0
62,246,0.25093451142311096,0
63,250,0.006817360874265432,0
64,254,0.3240619897842407,0
65,258,0.062161028385162354,0
66,262,0.013623904436826706,0
67,266,0.10880344361066818,0
68,270,0.10190930962562561,0
69,274,0.25487184524536133,0
70,278,0.14760175347328186,0
71,282,0.23749952018260956,0
72,286,0.07181313633918762,0
73,290,0.0094356220215559,0
74,294,0.008836611174046993,0
75,298,0.06589430570602417,0
76,302,0.016440432518720627,0
77,306,0.7615504264831543,0
78,310,0.34403693675994873,0
79,314,0.09283322095870972,0
80,318,0.13931800425052643,0
81,322,0.24508243799209595,0
82,326,0.35234135389328003,0
83,330,0.08001209795475006,0
84,334,0.11452355235815048,0
85,338,0.3925645351409912,0
86,342,0.10991233587265015,0
87,346,0.3041343092918396,0
88,350,0.32107487320899963,0
89,354,0.1906445026397705,0
90,358,0.010286726988852024,0
91,362,0.38730019330978394,0
92,366,0.005175164435058832,0
93,370,0.15005773305892944,0
94,374,0.13199782371520996,0
95,378,0.11764826625585556,0
96,382,0.18845346570014954,0
97,386,0.01550360955297947,0
98,390,0.07354050874710083,0
99,394,0.01810958981513977,0
100,398,0.2215173840522766,0
101,402,0.27184516191482544,0
102,406,0.2429063618183136,0
103,410,0.0728168785572052,0
104,414,0.004588345997035503,0
105,418,0.017382433637976646,0
106,422,0.4064006209373474,0
107,426,0.05507839098572731,0
108,430,0.016169097274541855,0
109,434,0.0699455738067627,0
110,438,0.005493258126080036,0
111,442,0.08616165816783905,0
112,446,0.22918130457401276,0
113,450,0.053699567914009094,0
114,454,0.004080318845808506,0
115,458,0.30616310238838196,0
116,462,0.1875927895307541,0
117,466,0.255501925945282,0
118,470,0.2865561842918396,0
119,474,0.206844761967659,0
120,478,0.10222069919109344,0
121,482,0.693071722984314,0
122,486,0.07771178334951401,0
123,490,0.11948011070489883,0
124,494,0.0030344806145876646,0
125,498,0.09010199457406998,0
126,502,0.07452044636011124,0
127,506,0.008237393572926521,0
128,510,0.009259006939828396,0
129,514,0.008693963289260864,0
130,518,0.042042333632707596,0
131,522,0.22232617437839508,0
