step,micro_step,loss
1,4,0.21254226565361023
2,8,0.009431138634681702
3,10,0.01594087854027748
4,14,0.019220691174268723
5,18,0.43850773572921753
6,22,0.05492806434631348
7,26,0.03244385868310928
8,30,0.37088871002197266
9,34,0.32231608033180237
10,38,0.04442683979868889
11,42,0.36574965715408325
12,46,0.06733575463294983
13,50,0.05465242266654968
14,54,0.11802101135253906
15,58,0.2586897313594818
16,62,0.20135119557380676
17,66,0.38660937547683716
18,70,0.0118232611566782
19,74,0.015596767887473106
20,78,0.06391078233718872
21,82,0.023182136937975883
22,86,0.004232452251017094
23,90,0.015721287578344345
24,94,0.04247161000967026
25,98,0.21239876747131348
26,102,0.03021278604865074
27,106,0.24080060422420502
28,110,0.04108293354511261
29,114,0.029304636642336845
30,118,0.4050571918487549
31,122,0.03404002636671066
32,126,0.005951852537691593
33,130,0.07532179355621338
34,134,0.05834115669131279
35,138,0.4813094139099121
36,142,0.10519178211688995
37,146,0.019640443846583366
38,150,0.004952332004904747
39,154,0.05131302401423454
40,158,0.4611297845840454
41,162,0.38053131103515625
42,166,0.17566418647766113
43,170,0.43629974126815796
44,174,0.12279569357633591
45,178,0.13674944639205933
46,182,0.013366039842367172
47,186,0.1919178068637848
48,190,0.37955430150032043
49,194,0.0061513325199484825
50,198,0.028822744265198708
51,202,0.003977619111537933
52,206,0.005512438248842955
53,210,0.4238259196281433
54,214,0.06154985353350639
55,218,0.02280975878238678
56,222,0.24313803017139435
57,226,0.015700239688158035
58,230,0.3758891820907593
59,234,0.20863744616508484
60,238,0.009533392265439034
61,242,0.13775679469108582
62,246,0.011741818860173225
63,250,0.7306081056594849
64,254,0.5990089774131775
65,258,0.2962700426578522
66,262,0.055858343839645386
67,266,0.8785667419433594
68,270,0.030254071578383446
69,274,0.13445785641670227
70,278,0.17837035655975342
71,282,0.15898030996322632
72,286,0.4469452202320099
73,290,0.004634915851056576
74,294,0.01692330837249756
75,298,0.43588390946388245
76,302,0.02326088212430477
77,306,0.07424356043338776
78,310,0.059937916696071625
79,314,0.06394575536251068
80,318,0.024936795234680176
81,322,0.43077075481414795
82,326,0.04040689393877983
83,330,0.0654810220003128
84,334,0.11981658637523651
85,338,0.28746524453163147
86,342,0.0063574486412107944
87,346,0.010568334721028805
88,350,0.01382311899214983
89,354,0.011901707388460636
90,358,0.0756818875670433
91,362,0.1959570050239563
92,366,0.046931542456150055
93,370,0.12453394383192062
94,374,0.1810971200466156
95,378,0.6255267262458801
96,382,0.019492294639348984
97,386,0.02092212438583374
98,390,0.5108432769775391
99,394,0.4224938154220581
100,398,0.036814212799072266
101,402,0.03909910470247269
102,406,0.13250502943992615
103,410,0.5287112593650818
104,414,0.06549564003944397
105,418,0.3610003590583801
106,422,0.8272733688354492
107,426,0.3345237672328949
108,430,0.6097633838653564
109,434,0.4726980924606323
110,438,0.078558549284935
